Year, Month, Day,     Extent,    Missing
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km
1978,10,26,17.624,0
1978,10,28,17.803,0
1978,10,30,17.67,0
1978,11,1,17.527,0
1978,11,3,17.486,0
1978,11,5,17.343,0
1978,11,7,17.157,0
1978,11,9,17.028,0
1978,11,11,16.815,0
1978,11,13,16.371,0
1978,11,15,16.176,0
1978,11,17,15.52,0
1978,11,19,15.267,0
1978,11,21,15.027,0
1978,11,23,14.681,0
1978,11,25,14.449,0
1978,11,27,13.98,0
1978,11,29,13.619,0
1978,12,1,13.33,0
1978,12,3,13.097,0
1978,12,5,12.829,0
1978,12,7,12.436,0
1978,12,9,11.963,0
1978,12,11,11.652,0
1978,12,13,11.148,0
1978,12,15,10.664,0
1978,12,17,10.239,0
1978,12,19,9.758,0
1978,12,21,9.362,0
1978,12,23,8.706,0
1978,12,25,8.362,0
1978,12,27,7.907,0
1978,12,29,7.588,0
1978,12,31,7.283,0
1979,1,2,6.945,0
1979,1,4,6.838,0
1979,1,6,6.638,0
1979,1,8,6.27,0
1979,1,10,6.138,0
1979,1,12,5.952,0
1979,1,14,5.564,0
1979,1,16,5.379,0
1979,1,18,5.233,0
1979,1,20,4.984,0
1979,1,22,4.609,0
1979,1,24,4.397,0
1979,1,26,4.184,0
1979,1,28,4.004,0
1979,1,30,3.898,0
1979,2,1,3.704,0
1979,2,3,3.516,0
1979,2,5,3.367,0
1979,2,7,3.326,0
1979,2,9,3.212,0
1979,2,11,3.043,0
1979,2,13,3.049,0
1979,2,15,2.916,0
1979,2,17,2.911,0
1979,2,19,2.95,0
1979,2,21,2.945,0
1979,2,23,2.924,0
1979,2,25,2.996,0
1979,2,27,3.116,0
1979,3,1,3.248,0
1979,3,3,3.079,0
1979,3,5,3.228,0
1979,3,7,3.308,0
1979,3,9,3.366,0
1979,3,11,3.443,0
1979,3,13,3.594,0
1979,3,15,3.721,0
1979,3,17,3.832,0
1979,3,19,4.091,0
1979,3,21,4.248,0
1979,3,23,4.5,0
1979,3,25,4.818,0
1979,3,27,4.894,0
1979,3,29,5.208,0
1979,3,31,5.411,0
1979,4,2,5.649,0
1979,4,4,5.826,0
1979,4,6,6.152,0
1979,4,8,6.409,0
1979,4,10,6.806,0
1979,4,12,7.149,0
1979,4,14,7.309,0
1979,4,16,7.587,0
1979,4,18,7.742,0
1979,4,20,8.01,0
1979,4,22,8.273,0
1979,4,24,8.572,0
1979,4,26,8.791,0
1979,4,28,8.97,0
1979,4,30,9.038,0
1979,5,2,9.162,0
1979,5,4,9.498,0
1979,5,6,9.968,0
1979,5,8,9.848,0
1979,5,10,10.109,0
1979,5,12,10.342,0
1979,5,14,10.656,0
1979,5,16,10.953,0
1979,5,18,11.145,0
1979,5,20,11.273,0
1979,5,22,11.458,0
1979,5,24,11.634,0
1979,5,26,11.868,0
1979,5,28,12.116,0
1979,5,30,12.37,0
1979,6,1,12.654,0
1979,6,3,13.061,0
1979,6,5,13.24,0
1979,6,7,13.452,0
1979,6,9,13.523,0
1979,6,11,13.661,0
1979,6,13,13.748,0
1979,6,15,13.952,0
1979,6,17,14.26,0
1979,6,19,14.588,0
1979,6,21,14.909,0
1979,6,23,15.227,0
1979,6,25,15.371,0
1979,6,27,15.513,0
1979,6,29,15.646,0
1979,7,1,15.685,0
1979,7,3,15.779,0
1979,7,5,15.896,0
1979,7,7,15.947,0
1979,7,9,16.128,0
1979,7,11,16.235,0
1979,7,13,16.408,0
1979,7,15,16.588,0
1979,7,17,16.661,0
1979,7,19,16.794,0
1979,7,21,16.864,0
1979,7,23,16.93,0
1979,7,25,17.144,0
1979,7,27,17.042,0
1979,7,29,17.11,0
1979,7,31,17.059,0
1979,8,2,16.944,0
1979,8,4,17.022,0
1979,8,6,16.983,0
1979,8,8,17,0
1979,8,10,17.181,0
1979,8,12,17.506,0
1979,8,14,17.62,0
1979,8,16,17.876,0
1979,8,18,18.118,0
1979,8,20,18.136,0
1979,8,22,18.283,0
1979,8,24,18.268,0
1979,8,26,18.203,0
1979,8,28,18.159,0
1979,8,30,18.175,0
1979,9,1,18.187,0
1979,9,3,18.197,0
1979,9,5,18.295,0
1979,9,7,18.28,0
1979,9,9,18.215,0
1979,9,11,18.264,0
1979,9,13,18.361,0
1979,9,15,18.326,0
1979,9,17,18.105,0
1979,9,19,17.978,0
1979,9,21,18.117,0
1979,9,23,17.973,0
1979,9,25,18.118,0
1979,9,27,18.26,0
1979,9,29,18.257,0
1979,10,1,18.25,0
1979,10,3,18.311,0
1979,10,5,18.275,0
1979,10,7,18.109,0
1979,10,9,18.16,0
1979,10,11,18.022,0
1979,10,13,18.077,0
1979,10,15,17.961,0
1979,10,17,17.95,0
1979,10,19,17.777,0
1979,10,21,17.738,0
1979,10,23,17.598,0
1979,10,25,17.403,0
1979,10,27,17.274,0
1979,10,29,17.206,0
1979,10,31,17.017,0
1979,11,2,16.945,0
1979,11,4,16.767,0
1979,11,6,16.71,0
1979,11,8,16.537,0
1979,11,10,16.266,0
1979,11,12,15.947,0
1979,11,14,15.729,0
1979,11,16,15.481,0
1979,11,18,15.256,0
1979,11,20,14.984,0
1979,11,22,14.682,0
1979,11,24,14.202,0
1979,11,26,13.82,0
1979,11,28,13.569,0
1979,11,30,13.161,0
